PUMA,Place,puma_to_place_factor,place_code
101,"Albany city, CA",0.138,674
101,"Berkeley city, CA",0.862,6000
102,"Emeryville city, CA",0.085,22594
102,"Oakland city, CA",0.915,53000
103,"Oakland city, CA",0.933,53000
103,"Piedmont city, CA",0.067,56938
104,"Oakland city, CA",1,53000
104,"San Leandro city, CA",0,68084
105,"Alameda city, CA",0.488,562
105,"Castro Valley CDP, CA",0.008,11964
105,"Oakland city, CA",0.016,53000
105,"San Leandro city, CA",0.488,68084
106,"Ashland CDP, CA",0.157,2980
106,"Castro Valley CDP, CA",0.442,11964
106,"Cherryland CDP, CA",0.093,12902
106,"Fairview CDP, CA",0.048,23350
106,"Hayward city, CA",0.074,33000
106,"San Leandro city, CA",0.001,68084
106,"San Lorenzo CDP, CA",0.156,68112
106,Unincorporated_106,0.029,99999
107,"Castro Valley CDP, CA",0.023,11964
107,"Cherryland CDP, CA",0.008,12902
107,"Fairview CDP, CA",0.026,23350
107,"Hayward city, CA",0.93,33000
107,"Sunol CDP, CA",0,77042
107,"Union City city, CA",0.008,81204
107,Unincorporated_107,0.005,99999
108,"Fremont city, CA",0.189,26000
108,"Newark city, CA",0.317,50916
108,"Union City city, CA",0.493,81204
108,Unincorporated_108,0,99999
109,"Fremont city, CA",1,26000
110,"Dublin city, CA",0.213,20018
110,"Hayward city, CA",0,33000
110,"Livermore city, CA",0.41,41992
110,"Pleasanton city, CA",0.352,57792
110,"Sunol CDP, CA",0.005,77042
110,Unincorporated_110,0.02,99999
300,"Alpine Village CDP, CA",0.001,1228
300,"Amador City city, CA",0.001,1514
300,"Angels city, CA",0.017,2112
300,"Arnold CDP, CA",0.044,2770
300,"Aspen Springs CDP, CA",0,3026
300,"Avery CDP, CA",0.003,3316
300,"Bear Valley CDP, CA",0.005,4716
300,"Bear Valley CDP, CA",0.001,4730
300,"Benton CDP, CA",0.001,5346
300,"Big Pine CDP, CA",0.008,6616
300,"Bishop city, CA",0.017,6798
300,"Bootjack CDP, CA",0.004,7525
300,"Bridgeport CDP, CA",0.003,8240
300,"Buckhorn CDP, CA",0.015,8680
300,"Buck Meadows CDP, CA",0,8716
300,"Buena Vista CDP, CA",0.002,8828
300,"Camanche North Shore CDP, CA",0.004,10042
300,"Camanche Village CDP, CA",0.003,10044
300,"Cartago CDP, CA",0,11600
300,"Catheys Valley CDP, CA",0.003,12062
300,"Cedar Ridge CDP, CA",0.007,12300
300,"Chalfant CDP, CA",0.003,12594
300,"Chinese Camp CDP, CA",0.001,13182
300,"Cold Springs CDP, CA",0.004,14454
300,"Coleville CDP, CA",0.002,14484
300,"Columbia CDP, CA",0.01,14904
300,"Copperopolis CDP, CA",0.021,16210
300,"Coultervillle CDP, CA",0.001,16644
300,"Crowley Lake CDP, CA",0.004,17372
300,"Darwin CDP, CA",0,18030
300,"Dixon Lane-Meadow Creek CDP, CA",0.011,19406
300,"Dorrington CDP, CA",0.015,19570
300,"Drytown CDP, CA",0.001,19976
300,"East Sonora CDP, CA",0.011,21188
300,"El Portal CDP, CA",0.002,22328
300,"Fiddletown CDP, CA",0.001,23980
300,"Fish Camp CDP, CA",0.001,24218
300,"Forest Meadows CDP, CA",0.008,24897
300,"Furnace Creek CDP, CA",0,28021
300,"Greeley Hill CDP, CA",0.006,30900
300,"Groveland CDP, CA",0.003,31372
300,"Homewood Canyon CDP, CA",0,34405
300,"Hornitos CDP, CA",0,34708
300,"Independence CDP, CA",0.003,36350
300,"Ione city, CA",0.015,36672
300,"Jackson city, CA",0.021,36980
300,"Jamestown CDP, CA",0.015,37106
300,"June Lake CDP, CA",0.007,37624
300,"Keeler CDP, CA",0.001,37918
300,"Kirkwood CDP, CA",0.007,38646
300,"Lake Don Pedro CDP, CA",0.005,39484
300,"Lee Vining CDP, CA",0.001,40998
300,"Lone Pine CDP, CA",0.009,42580
300,"Long Barn CDP, CA",0.003,42622
300,"McGee Creek CDP, CA",0,44830
300,"Mammoth Lakes town, CA",0.086,45358
300,"Mariposa CDP, CA",0.01,45932
300,"Markleeville CDP, CA",0.002,45988
300,"Martell CDP, CA",0.001,46100
300,"Mesa CDP, CA",0.001,47013
300,"Mesa Vista CDP, CA",0.001,47086
300,"Midpines CDP, CA",0.006,47374
300,"Mi-Wuk Village CDP, CA",0.01,48298
300,"Mokelumne Hill CDP, CA",0.003,48480
300,"Mono City CDP, CA",0.001,48602
300,"Mono Vista CDP, CA",0.013,48641
300,"Mountain Ranch CDP, CA",0.009,49628
300,"Murphys CDP, CA",0.011,50034
300,"Olancha CDP, CA",0.001,53490
300,"Paradise CDP, CA",0.001,55528
300,"Pearsonville CDP, CA",0,56294
300,"Phoenix Lake CDP, CA",0.017,56870
300,"Pine Grove CDP, CA",0.01,57148
300,"Pine Mountain Lake CDP, CA",0.027,57244
300,"Pioneer CDP, CA",0.005,57330
300,"Plymouth city, CA",0.004,57834
300,"Rail Road Flat CDP, CA",0.003,59220
300,"Rancho Calaveras CDP, CA",0.019,59426
300,"Red Corral CDP, CA",0.006,59896
300,"River Pines CDP, CA",0.002,61124
300,"Round Valley CDP, CA",0.001,63148
300,"San Andreas CDP, CA",0.012,64420
300,"Shoshone CDP, CA",0,71680
300,"Sierra Village CDP, CA",0.005,71834
300,"Sonora city, CA",0.022,72674
300,"Soulsbyville CDP, CA",0.009,72772
300,"Strawberry CDP, CA",0.003,75322
300,"Sunny Slopes CDP, CA",0.001,76040
300,"Sutter Creek city, CA",0.012,77392
300,"Swall Meadows CDP, CA",0.001,77430
300,"Tecopa CDP, CA",0.001,78050
300,"Topaz CDP, CA",0,79030
300,"Trona CDP, CA",0,80515
300,"Tuolumne City CDP, CA",0.007,80763
300,"Tuttletown CDP, CA",0.003,80896
300,"Twain Harte CDP, CA",0.019,80966
300,"Vallecito CDP, CA",0.002,81652
300,"Valley Springs CDP, CA",0.014,81890
300,"Volcano CDP, CA",0.001,83094
300,"Walker CDP, CA",0.004,83262
300,"Wallace CDP, CA",0.002,83304
300,"Wawona CDP, CA",0.003,83766
300,"West Bishop CDP, CA",0.011,84120
300,"West Point CDP, CA",0.003,84732
300,"Wilkerson CDP, CA",0.002,85551
300,"Yosemite Valley CDP, CA",0.003,86912
300,Unincorporated_300,0.277,99999
701,"Butte Creek Canyon CDP, CA",0.011,9310
701,"Butte Meadows CDP, CA",0.005,9318
701,"Chico city, CA",0.773,13014
701,"Cohasset CDP, CA",0.009,14442
701,"Durham CDP, CA",0.047,20270
701,"Forest Ranch CDP, CA",0.012,24918
701,"Nord CDP, CA",0.002,51574
701,Unincorporated_701,0.141,99999
702,"Bangor CDP, CA",0.006,3792
702,"Berry Creek CDP, CA",0.021,6070
702,"Biggs city, CA",0.013,6560
702,"Butte Creek Canyon CDP, CA",0,9310
702,"Butte Valley CDP, CA",0.008,9324
702,"Cherokee CDP, CA",0.001,12818
702,"Clipper Mills CDP, CA",0.003,14148
702,"Concow CDP, CA",0.008,16035
702,"Forbestown CDP, CA",0.003,24750
702,"Gridley city, CA",0.05,31260
702,"Honcut CDP, CA",0.002,34428
702,"Kelly Ridge CDP, CA",0.03,38024
702,"Magalia CDP, CA",0.112,45120
702,"Oroville city, CA",0.129,54386
702,"Oroville East CDP, CA",0.077,54388
702,"Palermo CDP, CA",0.044,55086
702,"Paradise town, CA",0.271,55520
702,"Rackerby CDP, CA",0.002,59115
702,"Richvale CDP, CA",0.002,60662
702,"Robinson Mill CDP, CA",0.001,62200
702,"South Oroville CDP, CA",0.04,73178
702,"Stirling City CDP, CA",0.003,74186
702,"Thermalito CDP, CA",0.051,78470
702,"Yankee Hill CDP, CA",0.004,86678
702,Unincorporated_702,0.119,99999
1100,"Arbuckle CDP, CA",0.017,2420
1100,"Artois CDP, CA",0.002,2910
1100,"Bend CDP, CA",0.005,5276
1100,"Burnt Ranch CDP, CA",0.003,9150
1100,"Coffee Creek CDP, CA",0.003,14406
1100,"College City CDP, CA",0.002,14554
1100,"Colusa city, CA",0.042,14946
1100,"Corning city, CA",0.053,16322
1100,"Douglas City CDP, CA",0.008,19724
1100,"Elk Creek CDP, CA",0.002,22006
1100,"Flournoy CDP, CA",0.001,24568
1100,"Gerber CDP, CA",0.008,29392
1100,"Grimes CDP, CA",0.003,31288
1100,"Hamilton City CDP, CA",0.01,31890
1100,"Hayfork CDP, CA",0.022,32562
1100,"Hyampom CDP, CA",0.003,36098
1100,"Junction City CDP, CA",0.007,37596
1100,"Lake California CDP, CA",0.024,39460
1100,"Las Flores CDP, CA",0.002,40536
1100,"Lewiston CDP, CA",0.013,41278
1100,"Lodoga CDP, CA",0.003,42230
1100,"Los Molinos CDP, CA",0.017,44140
1100,"Mad River CDP, CA",0.006,45092
1100,"Manton CDP, CA",0.003,45512
1100,"Maxwell CDP, CA",0.008,46338
1100,"Mineral CDP, CA",0.009,47794
1100,"Orland city, CA",0.049,54274
1100,"Paskenta CDP, CA",0.001,56042
1100,"Paynes Creek CDP, CA",0.001,56196
1100,"Princeton CDP, CA",0.003,58758
1100,"Proberta CDP, CA",0.002,58814
1100,"Rancho Tehama Reserve CDP, CA",0.014,59604
1100,"Red Bluff city, CA",0.108,59892
1100,"Richfield CDP, CA",0.002,60592
1100,"Ruth CDP, CA",0.006,63386
1100,"Stonyford CDP, CA",0.002,75154
1100,"Tehama city, CA",0.004,78106
1100,"Trinity Center CDP, CA",0.006,80476
1100,"Trinity Village CDP, CA",0.005,80483
1100,"Vina CDP, CA",0.001,82786
1100,"Weaverville CDP, CA",0.031,83794
1100,"Williams city, CA",0.027,85586
1100,"Willows city, CA",0.044,85684
1100,Unincorporated_1100,0.421,99999
1301,"East Richmond Heights CDP, CA",0.001,21061
1301,"El Cerrito city, CA",0.021,21796
1301,"El Sobrante CDP, CA",0.001,22454
1301,"North Richmond CDP, CA",0.03,52162
1301,"Richmond city, CA",0.688,60620
1301,"Rollingwood CDP, CA",0.019,62700
1301,"San Pablo city, CA",0.23,68294
1301,Unincorporated_1301,0.01,99999
1302,"Bayview CDP, CA",0.013,4470
1302,"East Richmond Heights CDP, CA",0.03,21061
1302,"El Cerrito city, CA",0.21,21796
1302,"El Sobrante CDP, CA",0.109,22454
1302,"Hercules city, CA",0.157,33308
1302,"Kensington CDP, CA",0.049,38086
1302,"Montalvin Manor CDP, CA",0.019,48718
1302,"North Richmond CDP, CA",0,52162
1302,"Pinole city, CA",0.153,57288
1302,"Richmond city, CA",0.222,60620
1302,"Rodeo CDP, CA",0.001,62490
1302,"Rollingwood CDP, CA",0,62700
1302,"Tara Hills CDP, CA",0.037,77924
1302,Unincorporated_1302,0.001,99999
1303,"Alhambra Valley CDP, CA",0.007,898
1303,"Concord city, CA",0.252,16000
1303,"Crockett CDP, CA",0.032,17274
1303,"Hercules city, CA",0.023,33308
1303,"Martinez city, CA",0.284,46114
1303,"Mountain View CDP, CA",0.019,49651
1303,"Pacheco CDP, CA",0.031,54764
1303,"Pleasant Hill city, CA",0.243,57764
1303,"Port Costa CDP, CA",0.002,58226
1303,"Reliez Valley CDP, CA",0.009,60279
1303,"Richmond city, CA",0.006,60620
1303,"Rodeo CDP, CA",0.059,62490
1303,"Vine Hill CDP, CA",0.026,82842
1303,Unincorporated_1303,0.009,99999
1304,"Acalanes Ridge CDP, CA",0.009,135
1304,"Alamo CDP, CA",0.098,618
1304,"Alhambra Valley CDP, CA",0,898
1304,"Castle Hill CDP, CA",0.01,11915
1304,"Danville town, CA",0.028,17988
1304,"Diablo CDP, CA",0.008,19150
