FID,FID_Projec,Zone,FID_CA_Pla,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Area
0,0,1,63,06,57876,02411449,0657876,Point Arena,Point Arena city,25,C1,N,N,G4110,A,3496030,0,+38.9123087,-123.6957623,5567222.59
1,0,1,158,06,17022,02410262,0617022,Crescent City,Crescent City city,25,C1,Y,N,G4110,A,5085115,1169623,+41.7645143,-124.2007785,9130277.76
2,0,1,168,06,07162,02409868,0607162,Blue Lake,Blue Lake city,25,C1,N,N,G4110,A,1535453,75885,+40.8832036,-123.9947220,2821557.53
3,0,1,169,06,25296,02410532,0625296,Fortuna,Fortuna city,25,C1,Y,N,G4110,A,12549005,123,+40.5854108,-124.1426079,21781328.01
4,0,1,170,06,60900,02410951,0660900,Rio Dell,Rio Dell city,25,C1,N,N,G4110,A,5907975,350980,+40.4955909,-124.1149295,10836806.03
5,0,1,171,06,80448,02412093,0680448,Trinidad,Trinidad city,25,C1,N,N,G4110,A,1255841,482188,+41.0577077,-124.1432550,2011183.3
6,0,1,172,06,23910,02410497,0623910,Ferndale,Ferndale city,25,C1,N,N,G4110,A,2658923,0,+40.5798914,-124.2619086,4614286.3
7,0,1,173,06,02476,02409723,0602476,Arcata,Arcata city,25,C1,Y,N,G4110,A,23548909,4911894,+40.8622906,-124.0749668,42044478.43
8,0,1,174,06,23042,02410463,0623042,Eureka,Eureka city,25,C1,Y,N,G4110,A,24304870,13129946,+40.7934759,-124.1552744,43447231.04
9,0,1,455,06,25058,02410525,0625058,Fort Bragg,Fort Bragg city,25,C1,N,N,G4110,A,7120035,86606,+39.4410694,-123.8036201,11884193.42
10,0,1,491,06,00716,02628703,0600716,Albion,Albion CDP,57,U1,N,N,G4210,S,4701873,96898,+39.2253257,-123.7575844,7943814.92
11,0,1,508,06,02028,02628706,0602028,Anchor Bay,Anchor Bay CDP,57,U1,N,N,G4210,S,9097804,0,+38.8126532,-123.5702668,14871422.69
12,0,1,535,06,04478,02407810,0604478,Bayview,Bayview CDP,57,U1,N,N,G4210,S,1895432,0,+40.7653347,-124.1786052,3307524.28
13,0,1,551,06,06150,02407832,0606150,Bertsch-Oceanview,Bertsch-Oceanview CDP,57,U2,N,N,G4210,S,13727496,708911,+41.7516381,-124.1704977,24560442.59
14,0,1,557,06,06567,02611424,0606567,Big Lagoon,Big Lagoon CDP,57,U1,N,N,G4210,S,1552063,0,+41.1593611,-124.1298681,2709031.77
15,0,1,568,06,07246,02582947,0607246,Bodega,Bodega CDP,57,U1,N,N,G4210,S,7515783,0,+38.3488408,-122.9711641,12238935.8
16,0,1,569,06,07260,02407872,0607260,Bodega Bay,Bodega Bay CDP,57,U1,N,N,G4210,S,21612543,10823438,+38.3275057,-123.0300219,35258497.9
17,0,1,630,06,11376,02582964,0611376,Carmet,Carmet CDP,57,U1,N,N,G4210,S,742472,0,+38.3744519,-123.0718595,1209364.42
18,0,1,639,06,11768,02628717,0611768,Caspar,Caspar CDP,57,U1,N,N,G4210,S,7748989,0,+39.3630629,-123.8041936,12887228.27
19,0,1,647,06,12146,02582969,0612146,Cazadero,Cazadero CDP,57,U1,N,N,G4210,S,18431244,3546,+38.5278309,-123.1097995,30166678.89
20,0,1,671,06,14008,02628718,0614008,Cleone,Cleone CDP,57,U1,N,N,G4210,S,4126679,62762,+39.4878572,-123.7760686,6890368.21
21,0,1,686,06,15030,02628722,0615030,Comptche,Comptche CDP,57,U1,N,N,G4210,S,2987584,0,+39.2651343,-123.5897145,4990799.59
22,0,1,710,06,17722,02408637,0617722,Cutten,Cutten CDP,57,U1,N,N,G4210,S,3351483,0,+40.7656751,-124.1445655,5848409.02
23,0,1,796,06,23196,02628729,0623196,Fairhaven,Fairhaven CDP,57,U1,N,N,G4210,S,1678794,3918,+40.7908802,-124.2047484,2818773.66
24,0,1,807,06,24008,02611430,0624008,Fieldbrook,Fieldbrook CDP,57,U1,N,N,G4210,S,27111447,9982,+40.9729581,-124.0285865,47620920.82
25,0,1,808,06,24022,02628730,0624022,Fields Landing,Fields Landing CDP,57,U1,N,N,G4210,S,716667,7676,+40.7242363,-124.2186025,1249064.75
26,0,1,822,06,25086,02611432,0625086,Fort Dick,Fort Dick CDP,57,U1,N,N,G4210,S,8331462,662,+41.8695255,-124.1671978,15034771.02
27,0,1,876,06,31470,02408341,0631470,Guerneville,Guerneville CDP,57,U1,N,N,G4210,S,25147191,440242,+38.5171652,-122.9898970,7116028.9
28,0,1,898,06,33935,02611435,0633935,Hiouchi,Hiouchi CDP,57,U1,N,N,G4210,S,1501782,0,+41.7936643,-124.0661134,1751272.69
29,0,1,910,06,34928,02408406,0634928,Humboldt Hill,Humboldt Hill CDP,57,U1,N,N,G4210,S,10761593,38545,+40.7223160,-124.1973808,18821814.78
30,0,1,912,06,36126,02408413,0636126,Hydesville,Hydesville CDP,57,U1,N,N,G4210,S,19424190,0,+40.5578746,-124.0822500,33686619.64
31,0,1,917,06,36420,02628741,0636420,Indianola,Indianola CDP,57,U1,N,N,G4210,S,3656941,483,+40.8099643,-124.0784473,6391349.14
32,0,1,929,06,37274,02583041,0637274,Jenner,Jenner CDP,57,U1,N,N,G4210,S,5463963,745264,+38.4590340,-123.1274672,10125726.98
33,0,1,954,06,38702,02408492,0638702,Klamath,Klamath CDP,57,U1,N,N,G4210,S,32116206,0,+41.5322042,-124.0064129,57358954.42
34,0,1,1001,06,41026,02628750,0641026,Leggett,Leggett CDP,57,U1,N,N,G4210,S,7003204,0,+39.8635391,-123.7251757,11502821.81
35,0,1,1019,06,41866,02628752,0641866,Little River,Little River CDP,57,U1,N,N,G4210,S,4331554,0,+39.2702854,-123.7817494,7103904.85
36,0,1,1026,06,42328,02611440,0642328,Loleta,Loleta CDP,57,U1,N,N,G4210,S,5500845,0,+40.6408852,-124.2225561,9563431.64
37,0,1,1054,06,44910,02408201,0644910,McKinleyville,McKinleyville CDP,57,U1,N,N,G4210,S,53938811,601824,+40.9522654,-124.0748997,93552402.84
38,0,1,1062,06,45386,02628754,0645386,Manchester,Manchester CDP,57,U1,N,N,G4210,S,6780881,0,+38.9743844,-123.6909611,11235194.98
39,0,1,1063,06,45414,02628755,0645414,Manila,Manila CDP,57,U1,N,N,G4210,S,1694566,128417,+40.8508972,-124.1631934,3097991.47
