FID,FID_Projec,Zone,FID_CA_Cou,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Area
0,0,1,6,06,097,01657246,06097,Sonoma,Sonoma County,06,H1,G4020,488,42220, ,A,4081437574,497508807,+38.5251824,-122.9261095,1320443466
1,0,1,11,06,041,00277285,06041,Marin,Marin County,06,H1,G4020,488,41860,42034,A,1348061297,796944835,+38.0518169,-122.7459738,101400.63
2,0,1,18,06,045,00277287,06045,Mendocino,Mendocino County,06,H1,G4020, ,46380, ,A,9081421729,962951511,+39.4323876,-123.4428811,4227922351
3,0,1,30,06,023,01681908,06023,Humboldt,Humboldt County,06,H1,G4020, ,21700, ,A,9240992572,1254297982,+40.7066731,-123.9258181,8868963688
4,0,1,34,06,015,01682074,06015,Del Norte,Del Norte County,06,H1,G4020, ,18860, ,A,2606100217,578760364,+41.7499033,-123.9809983,1328149857
5,1,10,5,06,037,00277283,06037,Los Angeles,Los Angeles County,06,H1,G4020,348,31080,31084,A,10510651024,1794730436,+34.1963983,-118.2618616,360132.43
6,1,10,8,06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020, ,41740, ,A,10895149811,826195031,+33.0236041,-116.7761174,4109298922
7,1,10,23,06,071,00277300,06071,San Bernardino,San Bernardino County,06,H1,G4020,348,40140, ,A,51948120575,123845026,+34.8572198,-116.1811967,1819924221
8,1,10,31,06,065,00277297,06065,Riverside,Riverside County,06,H1,G4020,348,40140, ,A,18664206749,250926952,+33.7298275,-116.0022389,5794820947
9,1,10,47,06,059,00277294,06059,Orange,Orange County,06,H1,G4020,348,31080,11244,A,2047702298,407606601,+33.6756872,-117.7772068,2509331.6
10,2,11,0,06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020, , , ,A,2468694587,23299110,+39.5769252,-120.5219926,5035646.8
11,2,11,1,06,067,00277298,06067,Sacramento,Sacramento County,06,H1,G4020,472,40900, ,A,2499183617,76073827,+38.4500114,-121.3404409,400259.99
12,2,11,9,06,061,00277295,06061,Placer,Placer County,06,H1,G4020,472,40900, ,A,3644333049,246486852,+39.0620323,-120.7227181,2156313848
13,2,11,15,06,089,01682610,06089,Shasta,Shasta County,06,H1,G4020,454,39820, ,A,9778179454,186530168,+40.7605142,-122.0435556,8147445946
14,2,11,17,06,105,00277317,06105,Trinity,Trinity County,06,H1,G4020, , , ,A,8234265201,73407949,+40.6477241,-123.1144043,848653.6
15,2,11,26,06,017,00277273,06017,El Dorado,El Dorado County,06,H1,G4020,472,40900, ,A,4423349463,203269403,+38.7855320,-120.5343981,400941
16,2,11,27,06,113,00277321,06113,Yolo,Yolo County,06,H1,G4020,472,40900, ,A,2628256658,22688574,+38.6795954,-121.9024412,2608981.75
17,2,11,28,06,115,00277322,06115,Yuba,Yuba County,06,H1,G4020,472,49700, ,A,1636971148,31000614,+39.2662469,-121.3407809,2208046193
18,2,11,33,06,011,01675902,06011,Colusa,Colusa County,06,H1,G4020, , , ,A,2980372757,14581043,+39.1777385,-122.2375629,4989136364
19,2,11,39,06,103,01692767,06103,Tehama,Tehama County,06,H1,G4020,454,39780, ,A,7639720404,32276063,+40.1261561,-122.2322757,8475737818
20,2,11,42,06,057,01682927,06057,Nevada,Nevada County,06,H1,G4020,472,46020, ,A,2480606160,41513172,+39.2975082,-120.7713429,1830990732
21,2,11,43,06,007,01675842,06007,Butte,Butte County,06,H1,G4020, ,17020, ,A,4238423343,105325812,+39.6659588,-121.6019188,5420322851
22,2,11,49,06,101,00277315,06101,Sutter,Sutter County,06,H1,G4020,472,49700, ,A,1560255999,15724974,+39.0361898,-121.7039397,2613698578
23,2,11,51,06,033,00277281,06033,Lake,Lake County,06,H1,G4020, ,17340, ,A,3254288286,188912510,+39.0948019,-122.7467569,2732140.45
24,2,11,56,06,021,00277275,06021,Glenn,Glenn County,06,H1,G4020, , , ,A,3403104376,33749275,+39.6025462,-122.4016998,4268169989
25,3,12,1,06,067,00277298,06067,Sacramento,Sacramento County,06,H1,G4020,472,40900, ,A,2499183617,76073827,+38.4500114,-121.3404409,4204866722
26,3,12,3,06,009,01675885,06009,Calaveras,Calaveras County,06,H1,G4020, , , ,A,2641820834,43806026,+38.1838996,-120.5614415,3445247653
27,3,12,9,06,061,00277295,06061,Placer,Placer County,06,H1,G4020,472,40900, ,A,3644333049,246486852,+39.0620323,-120.7227181,11730050.35
28,3,12,12,06,043,00277286,06043,Mariposa,Mariposa County,06,H1,G4020, , , ,A,3752420463,36268135,+37.5700335,-119.9128599,3187176254
29,3,12,14,06,055,00277292,06055,Napa,Napa County,06,H1,G4020,488,34900, ,A,1938165958,104249021,+38.5070999,-122.3259045,1973712.21
30,3,12,21,06,109,00277319,06109,Tuolumne,Tuolumne County,06,H1,G4020, ,43760, ,A,5752184086,138627184,+38.0214344,-119.9647335,2072334300
31,3,12,22,06,095,00277312,06095,Solano,Solano County,06,H1,G4020,488,46700, ,A,2128380148,218647027,+38.2672255,-121.9395940,3443686565
32,3,12,24,06,013,01675903,06013,Contra Costa,Contra Costa County,06,H1,G4020,488,41860,36084,A,1871930816,209819213,+37.9194790,-121.9515431,2869769930
33,3,12,26,06,017,00277273,06017,El Dorado,El Dorado County,06,H1,G4020,472,40900, ,A,4423349463,203269403,+38.7855320,-120.5343981,2554547209
34,3,12,27,06,113,00277321,06113,Yolo,Yolo County,06,H1,G4020,472,40900, ,A,2628256658,22688574,+38.6795954,-121.9024412,4346246958
35,3,12,29,06,069,00277299,06069,San Benito,San Benito County,06,H1,G4020,488,41940, ,A,3596755292,4555000,+36.6107024,-121.0852960,577249.65
36,3,12,33,06,011,01675902,06011,Colusa,Colusa County,06,H1,G4020, , , ,A,2980372757,14581043,+39.1777385,-122.2375629,185312
37,3,12,36,06,019,00277274,06019,Fresno,Fresno County,06,H1,G4020,260,23420, ,A,15433177265,135374444,+36.7610058,-119.6550193,603251.46
38,3,12,37,06,039,00277284,06039,Madera,Madera County,06,H1,G4020,260,31460, ,A,5535098260,41957139,+37.2098213,-119.7498023,460267.79
39,3,12,38,06,085,00277307,06085,Santa Clara,Santa Clara County,06,H1,G4020,488,41940, ,A,3344210021,33276429,+37.2207774,-121.6906224,8396365.45
40,3,12,40,06,077,00277303,06077,San Joaquin,San Joaquin County,06,H1,G4020,488,44700, ,A,3606276598,89025932,+37.9349815,-121.2722440,5950289409
41,3,12,41,06,001,01675839,06001,Alameda,Alameda County,06,H1,G4020,488,41860,36084,A,1914242789,212979931,+37.6471385,-121.9124880,1677185786
42,3,12,44,06,047,00277288,06047,Merced,Merced County,06,H1,G4020,382,32900, ,A,5012175306,112509475,+37.1948063,-120.7228019,8058792165
43,3,12,46,06,099,00277314,06099,Stanislaus,Stanislaus County,06,H1,G4020,382,33700, ,A,3874642752,46376455,+37.5623162,-121.0028311,6243743836
44,3,12,49,06,101,00277315,06101,Sutter,Sutter County,06,H1,G4020,472,49700, ,A,1560255999,15724974,+39.0361898,-121.7039397,1972277.9
45,3,12,50,06,005,01675841,06005,Amador,Amador County,06,H1,G4020, , , ,A,1539933576,29470568,+38.4435501,-120.6538563,1694388902
46,3,12,51,06,033,00277281,06033,Lake,Lake County,06,H1,G4020, ,17340, ,A,3254288286,188912510,+39.0948019,-122.7467569,771361.79
47,4,13,2,06,083,00277306,06083,Santa Barbara,Santa Barbara County,06,H1,G4020, ,42200, ,A,7084000598,2729814515,+34.5370572,-120.0399729,45858.44
48,4,13,4,06,111,00277320,06111,Ventura,Ventura County,06,H1,G4020,348,37100, ,A,4773390489,945942791,+34.3587415,-119.1331432,282549.16
49,4,13,7,06,031,00277280,06031,Kings,Kings County,06,H1,G4020,546,25260, ,A,3598583450,5468555,+36.0724780,-119.8155301,5528423273
50,4,13,12,06,043,00277286,06043,Mariposa,Mariposa County,06,H1,G4020, , , ,A,3752420463,36268135,+37.5700335,-119.9128599,855839.79
51,4,13,16,06,053,00277291,06053,Monterey,Monterey County,06,H1,G4020, ,41500, ,A,8496669426,1270747469,+36.2401070,-121.3155723,1521458.69
52,4,13,29,06,069,00277299,06069,San Benito,San Benito County,06,H1,G4020,488,41940, ,A,3596755292,4555000,+36.6107024,-121.0852960,980823.01
53,4,13,32,06,029,02054176,06029,Kern,Kern County,06,H1,G4020, ,12540, ,A,21061589620,79574760,+35.3466288,-118.7295064,14687211527
54,4,13,36,06,019,00277274,06019,Fresno,Fresno County,06,H1,G4020,260,23420, ,A,15433177265,135374444,+36.7610058,-119.6550193,15373884329
55,4,13,37,06,039,00277284,06039,Madera,Madera County,06,H1,G4020,260,31460, ,A,5535098260,41957139,+37.2098213,-119.7498023,5451257947
56,4,13,44,06,047,00277288,06047,Merced,Merced County,06,H1,G4020,382,32900, ,A,5012175306,112509475,+37.1948063,-120.7228019,28022628.39
57,4,13,45,06,107,00277318,06107,Tulare,Tulare County,06,H1,G4020,546,47300, ,A,12495016292,37081410,+36.2288241,-118.7810610,9652884586
58,4,13,57,06,079,00277304,06079,San Luis Obispo,San Luis Obispo County,06,H1,G4020, ,42020, ,A,8548640337,815490673,+35.3852242,-120.4475445,1341637.36
59,5,14,5,06,037,00277283,06037,Los Angeles,Los Angeles County,06,H1,G4020,348,31080,31084,A,10510651024,1794730436,+34.1963983,-118.2618616,4593569030
60,5,14,8,06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020, ,41740, ,A,10895149811,826195031,+33.0236041,-116.7761174,5445596802
61,5,14,19,06,027,01804637,06027,Inyo,Inyo County,06,H1,G4020, , , ,A,26368508405,119088171,+36.5619770,-117.4039269,15417096517
62,5,14,23,06,071,00277300,06071,San Bernardino,San Bernardino County,06,H1,G4020,348,40140, ,A,51948120575,123845026,+34.8572198,-116.1811967,61650008291
63,5,14,31,06,065,00277297,06065,Riverside,Riverside County,06,H1,G4020,348,40140, ,A,18664206749,250926952,+33.7298275,-116.0022389,5677245442
64,5,14,32,06,029,02054176,06029,Kern,Kern County,06,H1,G4020, ,12540, ,A,21061589620,79574760,+35.3466288,-118.7295064,7209594194
65,5,14,48,06,025,00277277,06025,Imperial,Imperial County,06,H1,G4020, ,20940, ,A,10817291640,790230304,+33.0408143,-115.3554001,1654491673
66,6,15,8,06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020, ,41740, ,A,10895149811,826195031,+33.0236041,-116.7761174,3473062233
