Place,County,All_VMT,VLI_VMT,LI_VMT,MoI_VMT,Average
"Alameda city, CA",Alameda,12378,7288,9235,10557,11611
"Albany city, CA",Alameda,11759,6669,8616,9938,12200
"American Canyon city, CA",Napa,14370,9274,11244,12549,14678
"Antioch city, CA",Contra Costa,15114,9939,11834,13154,15712
"Atherton town, CA",San Mateo,12781,8916,10928,12214,12756
"Atwater city, CA",Merced,12777,7645,9269,10664,14104
"Auburn city, CA",Placer,13600,8584,10212,11501,15373
"Belmont city, CA",San Mateo,12617,8753,10764,12050,12444
"Belvedere city, CA",Marin,11255,6954,8414,9727,10993
"Benicia city, CA",Solano,12384,7485,9040,10285,13361
"Berkeley city, CA",Alameda,11500,6410,8357,9679,11345
"Brentwood city, CA",Contra Costa,15120,9945,11840,13160,15565
"Brisbane city, CA",San Mateo,12113,8248,10260,11546,11198
"Burlingame city, CA",San Mateo,11844,7979,9991,11277,11869
"Calistoga city, CA",Napa,13279,8183,10153,11458,13203
"Campbell city, CA",Santa Clara,13559,9141,11483,12921,13165
"Capitola city, CA",Santa Cruz,12637,7163,9303,10676,12404
"Carmel-by-the-Sea city, CA",Monterey,13621,8473,10222,11522,13652
"Ceres city, CA",Stanislaus,10167,5097,6813,8068,11564
"Citrus Heights city, CA",Sacramento,13194,7932,9734,11095,13735
"Clayton city, CA",Contra Costa,14279,9105,10999,12319,15128
"Cloverdale city, CA",Sonoma,14912,9693,11536,12829,16116
"Clovis city, CA",Fresno,13144,7691,9496,11045,14004
"Coalinga city, CA",Fresno,15788,10334,12140,13689,17083
"Colfax city, CA",Placer,14017,8998,10626,11914,15030
"Colma town, CA",San Mateo,11908,8044,10056,11341,11422
"Concord city, CA",Contra Costa,12708,7533,9428,10747,14077
"Corte Madera town, CA",Marin,12178,7877,9336,10634,11248
"Cotati city, CA",Sonoma,12440,7221,9048,10341,13675
"Cupertino city, CA",Santa Clara,13433,9015,11357,12795,13236
"Daly City city, CA",San Mateo,11427,7563,9575,10860,11078
"Danville town, CA",Contra Costa,14418,9243,11138,12457,14463
"Davis city, CA",Yolo,14191,8766,10849,12092,14270
"Del Rey Oaks city, CA",Monterey,12011,6863,8613,9912,12372
"Dixon city, CA",Solano,14000,9117,10672,11900,15284
"Dos Palos city, CA",Merced,13544,8412,10050,11445,14030
"Dublin city, CA",Alameda,14965,9875,11822,13144,14739
"East Palo Alto city, CA",San Mateo,11155,7290,9311,10597,11076
"El Cerrito city, CA",Contra Costa,13223,8048,9943,11263,12706
"Elk Grove city, CA",Sacramento,14126,8863,10666,12026,14726
"Emeryville city, CA",Alameda,11025,5935,7882,9203,10224
"Escalon city, CA",San Joaquin,14854,9620,11291,12755,16535
"Fairfax town, CA",Marin,12922,8621,10081,11379,12499
"Fairfield city, CA",Solano,13133,8234,9789,11033,13854
"Firebaugh city, CA",Fresno,15627,10173,11979,13528,15386
"Folsom city, CA",Sacramento,13021,7759,9561,10922,13407
"Fort Bragg city, CA",Mendocino,5472,2060,2690,3373,4881
"Foster City city, CA",San Mateo,12481,8616,10628,11913,13115
"Fowler city, CA",Fresno,15234,9780,11586,13135,15579
"Fremont city, CA",Alameda,13872,8782,10729,12051,13620
"Fresno city, CA",Fresno,12629,7176,8981,10530,13843
"Galt city, CA",Sacramento,14860,9598,11400,12761,16920
"Gilroy city, CA",Santa Clara,17893,13474,15817,17255,17565
"Gonzales city, CA",Monterey,13682,8533,10283,11583,14832
"Greenfield city, CA",Monterey,15165,10016,11766,13065,15584
"Gustine city, CA",Merced,13976,8844,10482,11877,15945
"Half Moon Bay city, CA",San Mateo,12961,9096,11108,12394,13707
"Hayward city, CA",Alameda,13389,8299,10246,11568,13667
"Healdsburg city, CA",Sonoma,12676,7457,9284,10577,13514
"Hercules city, CA",Contra Costa,14941,9766,11661,12981,14654
"Hillsborough town, CA",San Mateo,15345,11480,13492,14778,14467
"Hollister city, CA",Monterey,12670,8117,9561,10849,14580
"Hughson city, CA",Stanislaus,13588,8518,10234,11489,13739
"Huron city, CA",Fresno,17785,12332,14137,15686,20720
"Isleton city, CA",Sacramento,16647,11392,13194,14547,18091
"Kerman city, CA",Fresno,15289,9835,11641,13190,15498
"King City city, CA",Monterey,13425,8277,10027,11326,15184
"Kingsburg city, CA",Fresno,17189,11735,13541,15090,17296
"Lafayette city, CA",Contra Costa,13022,7847,9741,11061,13840
"Larkspur city, CA",Marin,12663,8362,9821,11119,11171
"Lathrop city, CA",San Joaquin,15240,10006,11677,13141,17225
"Lincoln city, CA",Placer,14192,9177,10804,12093,14583
"Livermore city, CA",Alameda,13998,8907,10855,12176,15552
"Livingston city, CA",Merced,12757,7625,9263,10658,13497
"Lodi city, CA",San Joaquin,13175,7941,9612,11075,14722
"Loomis town, CA",Placer,13684,8668,10296,11585,14494
"Los Altos Hills town, CA",Santa Clara,14995,10577,12919,14357,15685
"Los Altos city, CA",Santa Clara,13681,9263,11605,13043,14357
"Los Banos city, CA",Merced,14689,9557,11194,12589,15882
"Los Gatos town, CA",Santa Clara,15050,10631,12974,14412,15946
"Manteca city, CA",San Joaquin,15401,10167,11838,13301,16564
"Marina city, CA",Monterey,12062,6913,8663,9962,12879
"Martinez city, CA",Contra Costa,12025,6850,8745,10065,13100
"Mendota city, CA",Fresno,16374,10920,12726,14275,17424
"Menlo Park city, CA",San Mateo,12299,8434,10446,11731,11761
"Merced city, CA",Merced,12061,6929,8566,9962,14334
"Mill Valley city, CA",Marin,12268,7967,9427,10725,12667
"Millbrae city, CA",San Mateo,11815,7950,9962,11248,12379
"Milpitas city, CA",Santa Clara,13854,9436,11778,13216,13159
